"model","cover_class","mean_observed","mean_predicted","n","RMSE","MAE","Bias","Pearson_r","R2","calibration_intercept","calibration_slope","class_mean_bias"
"Gradient boosting",1,1.55343188094441,19.0900091614164,1000,24.2690530172002,17.5789900088562,17.536577280472,0.327679956224011,0.10737415371097,16.6594417683911,1.56464369171285,17.536577280472
"Gradient boosting",2,30.1622603569031,37.3535739750564,1000,18.0441737844031,14.1122953677475,7.19131361815333,0.151619653301335,0.022988519267217,25.7372074466683,0.385129177685439,7.19131361815334
"Gradient boosting",3,50.2889361801147,53.8983260793686,1000,17.2534448684164,14.283530503273,3.60938989925385,0.222302192303443,0.0494182647029168,21.2973251146085,0.648273824047429,3.60938989925385
"Gradient boosting",4,69.4734808387756,62.1742507929802,1000,17.8816068809304,13.1352911419868,-7.29923004579544,-0.0504294954406407,0.0025431340103976,70.9041783596442,-0.125658416150519,-7.29923004579543
"Gradient boosting",5,88.9980520324707,68.0860031175613,1000,24.1318463687978,20.9226502180099,-20.9120489149094,0.0648639568026744,0.00420733289209921,53.3639190137596,0.165420295923223,-20.9120489149094
"Linear regression",1,1.55343188094441,21.392487390038,1000,25.9791751315359,19.9216295044508,19.8390555090936,0.331255017369447,0.109729886532432,18.9339613034171,1.58264170883775,19.8390555090936
"Linear regression",2,30.1622603569031,40.1093860978527,1000,17.2054140164998,14.0340342381741,9.94712574094959,0.153531459857009,0.0235719091658242,30.3335030240296,0.324109763596871,9.94712574094959
"Linear regression",3,50.2889361801147,54.4781824862944,1000,15.9518367817259,12.7169036765814,4.18924630617961,0.223260425924926,0.0498452177841792,24.7442672270957,0.591261568005809,4.18924630617961
"Linear regression",4,69.4734808387756,60.5044626020444,1000,17.6925956572161,13.6641465770056,-8.96901823673119,-0.0798338861602912,0.00637344937945434,73.090065228016,-0.181156931738868,-8.96901823673118
"Linear regression",5,88.9980520324707,65.753196571948,1000,26.514419484873,23.3969821467456,-23.2448554605227,-0.0736143172529288,0.00541906770461485,82.6686567551108,-0.190065510388826,-23.2448554605227
"MLP",1,1.55343188094441,19.2013572383386,1000,24.0216105365088,17.688291630899,17.6479253573942,0.318211077195501,0.101258289649921,16.911801574412,1.47386936756746,17.6479253573942
"MLP",2,30.1622603569031,37.3295120458719,1000,17.8730556975518,14.1507782607935,7.16725168896882,0.164641420799031,0.0271067974427236,24.794521893957,0.415585238095262,7.16725168896882
"MLP",3,50.2889361801147,54.2475826438492,1000,16.9711649884359,14.0377020781372,3.95864646373443,0.222878012563297,0.0496746084841651,22.3024225983321,0.635232368628802,3.95864646373443
"MLP",4,69.4734808387756,62.0574621770325,1000,17.5593725393235,12.8533177871902,-7.41601866174316,-0.0557253297421782,0.00310531237487449,71.3999108819274,-0.13447503410079,-7.41601866174315
"MLP",5,88.9980520324707,68.1863675629486,1000,23.9023844611915,20.8424202607508,-20.8116844695221,0.0770988520592701,0.00594423298885721,51.0740899019992,0.192276991126795,-20.8116844695221
"Random Forest",1,1.55343188094441,19.4794241355638,1000,24.7397859239869,18.0008465964941,17.9259922546194,0.316044602560506,0.0998841908076283,17.1040583817196,1.52910841021241,17.9259922546194
"Random Forest",2,30.1622603569031,37.4798309559495,1000,17.7983237175243,13.8872640808464,7.3175705990464,0.144149052258927,0.0207789492671468,26.7094699765677,0.357080697929747,7.31757059904641
"Random Forest",3,50.2889361801147,53.8389784725513,1000,16.9368535390399,13.8982398397403,3.55004229243658,0.223656049853261,0.0500220286359644,21.6554904975908,0.639971540851295,3.55004229243658
"Random Forest",4,69.4734808387756,61.8932642379191,1000,17.957713816154,13.2832141974925,-7.58021660085654,-0.0675080461233554,0.00455733629139309,73.4638607499935,-0.166546952482859,-7.58021660085653
"Random Forest",5,88.9980520324707,67.775545249765,1000,24.465475138304,21.2314559492266,-21.2225067827057,0.0662979523783224,0.0043954184895583,52.5365483951668,0.171228431483402,-21.2225067827057
