"model","fold","n","RMSE","MAE","Bias","Pearson_r","R2","calibration_intercept","calibration_slope"
"Gradient boosting",1,1040,20.9597441707499,16.3129203595463,-1.72806993125884,0.735443344406502,0.540876912831821,20.2415613734179,0.559660911425261
"Linear regression",1,1040,21.4818781920044,16.9942050834003,-1.86729292506026,0.719956280724878,0.518337046155199,23.2631975992813,0.496307555668037
"MLP",1,1040,20.8086906030137,16.23576514186,-1.70188536119197,0.739624979691341,0.547045110583417,20.2944128853751,0.55912642376253
"Random Forest",1,1040,21.1359138988314,16.3972816849418,-2.04808832061723,0.731006618529401,0.534370676333789,20.2271911797946,0.553534780036525
"Gradient boosting",2,1058,18.6844991149166,14.6962709957813,1.19158659987627,0.783901434120891,0.61450145841679,19.8485436348283,0.616156487596403
"Linear regression",2,1058,19.9861930934538,15.8085860053886,1.62853322474309,0.74839935812286,0.560101599238709,23.2675346277367,0.554804661453045
"MLP",2,1058,18.6505067130815,14.7729821847662,1.65504400567528,0.785760886760471,0.617420171162602,20.5293462146306,0.611684882991369
"Random Forest",2,1058,18.760887048136,14.7439279365226,0.967227916343596,0.781591333041062,0.610885011884904,20.2535672768996,0.603207734911172
"Gradient boosting",3,959,20.5360785878559,16.1335190738099,1.43718214909089,0.729958766937842,0.532839801429415,21.4213402588617,0.549387828284579
"Linear regression",3,959,20.6835289907685,16.6398648299776,2.33691906663324,0.730787598976597,0.53405051481798,25.2263791902283,0.48387771558694
"MLP",3,959,20.1500777318897,16.0182351572069,1.83561695878618,0.742499378152249,0.551305326556476,21.5708687343799,0.555000285070659
"Random Forest",3,959,20.6534791973246,16.2115668420556,1.53309529903326,0.726311663454364,0.527528632469845,21.9533538991675,0.539554429851211
"Gradient boosting",4,1017,21.6640857263334,16.9151555887857,-0.56320328291436,0.7298538601212,0.532686657133816,21.6308375278747,0.56484847423322
"Linear regression",4,1017,22.3934576417005,17.7036560596083,-0.481969131383566,0.706082121809139,0.498551962738495,24.8576970490655,0.503173194334087
"MLP",4,1017,21.4067363713479,16.7850209238943,-0.66125215808916,0.736491340776726,0.542419495039099,21.8670496305438,0.558294725154669
"Random Forest",4,1017,21.6294645506098,16.857341594962,-0.422105343456177,0.730396728952928,0.533479381665136,21.9909976764571,0.560553390911039
"Gradient boosting",5,926,20.9484946701467,16.0301375019763,-0.154410366349618,0.747545483526554,0.558824249940949,19.6773803382775,0.570552721411211
"Linear regression",5,926,21.2625607961749,16.6004214664685,0.247956340139523,0.740229992706828,0.547940442102751,22.8871016881442,0.509760893301066
"MLP",5,926,20.5329857393895,15.7944333945917,-0.564598944094837,0.759087308528767,0.576213541969447,19.0297574577353,0.575694239728869
"Random Forest",5,926,21.1670379839176,16.1533077224751,0.0611330702079331,0.74126897710003,0.549479696410924,20.4060913866607,0.559440339395854
