"variable","minimum","maximum","mean","standard_deviation"
"canopy_cover",0,99.9972839355469,48.0952322578417,30.8829780539967
"blue",0.00443500000983477,0.184367492794991,0.0368207737533376,0.0194760204395782
"green",0.00968750007450581,0.220915004611015,0.0552392314948142,0.0235750287973632
"red",0.00162999995518476,0.25432750582695,0.0551310547554167,0.0319608828404946
"nir",0.0516799986362457,0.434342503547668,0.20430029475987,0.0438221452548533
"swir1",0.0137849999591708,0.344115018844604,0.152713960655965,0.0463234626741146
"swir2",0.005644999910146,0.31402999162674,0.0908898436940275,0.0425271540145833
"ndvi",0.0393152981996536,0.967121362686157,0.592557030813396,0.168660178081681
"savi",0.010602961294353,0.562458097934723,0.294050509090163,0.0832577214544422
"evi",0.0107684768736362,0.657377302646637,0.296331689979881,0.0885398899331432
"Brightness",-0.0429992973804474,0.256555706262589,0.095274654465256,0.0374728245231717
"Greenness",0.0531633272767067,0.579404473304749,0.258279438979924,0.067875624700386
